Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wesling, Megan E.",LTEN 159,FA19,28,17,1.0,1.0,4.38,3.71,3.46
"Jed, Stephanie H",LTEN 159,FA19,35,11,0.909,1.0,2.68,3.91,3.91
"Blanco, John D",LTEN 181,FA19,43,24,0.7829999999999999,0.826,4.25,3.78,3.61
"Suzuki, Erin M.",LTEN 189,FA19,22,10,0.9,0.9,4.7,3.4,3.43
"Lampert-Weissig, Lisa",LTEN 21,FA19,58,31,0.929,0.9259999999999999,4.86,3.3,3.35
"Suzuki, Erin M.",LTEN 28,FA19,189,140,0.924,0.992,3.84,3.45,3.49
"Jed, Stephanie H",LTEU 140,FA19,40,14,0.929,1.0,3.64,4.0,4.0
"Wesling, Megan E.",LTEU 141,FA19,30,14,1.0,1.0,5.5,3.57,3.61
"Myerston Santana, Jacobo",LTGK 1,FA19,22,12,0.917,0.917,7.5,3.3,3.57
"Fischer-Grunski, Eva K",LTGM 2A,FA19,20,11,1.0,0.9,4.9,3.6,3.55
"De Marchi Gherini, Adriana",LTIT 2A,FA19,24,13,1.0,0.909,2.5,3.44,3.98
"Murray, Kourtney Kristine",LTLA 1,FA19,38,13,0.9229999999999999,1.0,5.12,3.55,3.5
"Murray, Kourtney Kristine",LTLA 100,FA19,34,14,1.0,1.0,4.21,3.67,3.65
"Wells, Patricia Rebecca",LTRU 1A,FA19,32,17,1.0,1.0,4.25,3.57,3.75
"Kokotovic, Milos",LTSP 142,FA19,27,17,1.0,1.0,4.63,3.67,3.54
"Nguyen, Hoang Tan",LTWL 116,FA19,57,30,0.897,0.9640000000000001,4.09,3.82,3.61
"Cohen, Alain J. J.",LTWL 183,FA19,29,9,0.889,0.889,4.94,3.63,3.43
"Wilkinson, Marco",LTWR 100,FA19,24,18,0.875,0.9329999999999999,3.21,3.71,3.82
"Banales, Melissa",LTWR 119,FA19,22,9,1.0,1.0,4.06,3.78,3.95
"Wilkinson, Marco",LTWR 120,FA19,23,19,1.0,1.0,2.92,3.74,3.96
"Banales, Melissa",LTWR 143,FA19,25,11,1.0,1.0,3.05,3.91,3.8
